hud_id,project,proj_add,proj_cty,proj_st,proj_zip,state_id,latitude,longitude,place1990,place2000,place2010,place2020,fips1990,fips2000,fips2010,fips2020,st2020,cnty2020,scattered_site_cd,resyndication_cd,allocamt,n_units,li_units,n_0br,n_1br,n_2br,n_3br,n_4br,aff_period,aff_yrs,inc_ceil,low_ceil,ceilunit,yr_pis,yr_alloc,non_prof,basis,bond,mff_ra,fmha_514,fmha_515,fmha_538,home,home_amt,tcap,tcap_amt,cdbg,cdbg_amt,htf,htf_amt,fha,hopevi,hpvi_amt,tcep,tcep_amt,rad,qozf,qozf_amt,rentassist,trgt_pop,trgt_fam,trgt_eld,trgt_dis,trgt_hml,trgt_other,trgt_spc,type,credit,n_unitsr,li_unitr,metro,dda,qct,nonprog,nlm_reason,nlm_spc,datanote,record_stat,place_id,phone,website,google_name,google_address,match_score,query_used
AKA0000X034,YENLO PHASE I AND II,402-451 NORTH YENLO STREET,WASILLA,AK,99654,AK-99-99,61.583094,-149.437633,,,83080,83080,02XXXXXXXXX,02XXXXXXXXX,2170000800,2170000800,2,170,,,,37,,,,,,,,,9,,,9999,9999,,,,,,,,,0,,0,,0,,0,,,0,,0,,,0,,,,,,,,,,2,37,37,,,,,,,,X,ChIJ4XNZV2veyFYRcdg5x1IeK6w,,,Yenlo Apartments,"Yenlo Apartments, 402 N Yenlo St, Wasilla, AK 99654, USA",65,3
AKA0000X035,LITTLE DIPPER (ACQ/REHAB),1910 TURNER STREET,FAIRBANKS,AK,99701,AK-99-99,64.829858,-147.723667,,,24230,24230,02XXXXXXXXX,02XXXXXXXXX,02XXXXXXXXX,2090000300,2,90,,,0,52,0,0,10,30,12,0,3,,9,2,,9999,9999,2,2,,,,,,,0,,0,,0,,0,,,0,,0,,,0,,2,2,2,2,,2,,,,52,52,,,,,,,,N,ChIJJ1za87JaMlER1cJMO9R_KnM,(907) 452-6092,https://benlomondinc.com/little-dipper-apartments/,Little Dipper Apartments,"1910 Turner St, Fairbanks, AK 99701, USA",86,1
AKA19890010,PARK WEST APTS,2012 SANDVIK ST,FAIRBANKS,AK,99709,AK-89-00001,64.851646,-147.803418,1080,16750,16750,16750,2090000600,2090000600,2090000600,2090000600,2,90,2,,,83,81,0,41,42,0,0,,,,,,1989,1989,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,83,81,1,2,2,,,,,X,ChIJQ2QdnDJbMlER7g71zuBe9UU,(907) 479-4918,http://www.pwapts.com/,Parkwest Apartments,"2006 Sandvik St #102, Fairbanks, AK 99709, USA",86,1
AKA19900005,TYSON'S TERRACE,103 BURKHART DR,SITKA,AK,99835,AK-90-00001,57.048874,-135.303021,3040,70540,70540,70540,2220967500,2220000100,2220000100,2220000100,2,220,2,,,16,16,0,16,0,0,0,,,,,,1990,1990,2,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,16,16,1,0,2,,,,,X,ChIJ_96zLZNnBFQRQuvvziuwiIk,,,103 Burkhart Dr,"103 Burkhart Dr, Sitka, AK 99835, USA",95,1
AKA19910005,NORTHWOOD APTS,190 PARKWOOD CIR,SOLDOTNA,AK,99669,AK-91-00001,60.489146,-151.073858,2810,65345,71640,71640,2122953200,2122000500,2122000500,2122000500,2,122,2,,,23,22,0,23,0,0,0,,,,,,1991,1991,2,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,23,22,1,0,2,,,,,X,ChIJ73uglt5jxlYRiqRrN7RUm1s,(907) 262-8448,,Northwood Retirement Apartment,"190 W Park Ave #1, Soldotna, AK 99669, USA",79,1
AKA19930005,CHINOOK VILLA,1200 S CENTURY CIR,WASILLA,AK,99654,AK-93-00001,61.569852,-149.449509,,83080,83080,83080,2170975100,2170000900,2170000900,2170000900,2,170,2,,,32,31,0,32,0,0,0,,,,,,1993,1993,2,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32,31,2,0,2,,,,,X,ChIJjRAMAgveyFYRCsEOtbvxzGc,(907) 373-0590,,Chinook Apartments,"1200 S Century Cir #33, Wasilla, AK 99654, USA",81,1
AKA19930010,STRASBAUGH PLACE,231 GASTINEAU AVE,JUNEAU,AK,99801,AK-92-00001,58.299681,-134.402657,1510,36400,36400,36400,2110976900,2110000500,2110000500,2110000500,2,110,2,,,7,7,3,2,2,0,0,,,,,,1993,1992,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7,7,1,0,2,,,,,X,ChIJydLmuILfAFQR3FBrS1lv4Ek,,,231 Gastineau Ave,"231 Gastineau Ave, Juneau, AK 99801, USA",96,3
AKA19940005,LOUSSAC SOGN SRO,429 D ST,ANCHORAGE,AK,99501,AK-92-00002,61.217991,-149.889063,140,3000,3000,3000,2020001100,2020001100,2020001100,2020001100,2,20,2,,,52,50,50,2,0,0,0,,,,,,1994,1992,1,1,2,,,2,,,0,,0,,0,,0,,,0,,0,2,,0,,,,,,,,,2,2,52,50,1,0,2,,,,,X,ChIJ_3rfxSmWyFYRnpF9hdEOgSA,(907) 272-4446,https://loussacsogn.nwalaska.org/,Loussac-Sogn Apartments,"429 D St, Anchorage, AK 99501, USA",94,1
AKA19949001,LOUSSAC-SOGN,LOUSSAC-SOGN 429 D STREET,ANCHORAGE,AK,99501,AK-92-33,61.2101,-149.8771,,3000,3000,3000,02XXXXXXXXX,2020001100,2020001000,2020001000,2,20,2,2,,52,52,50,2,0,0,0,,,1,,0,1994,1992,,,,,,,,,0,,0,,0,,0,,,0,,0,2,,0,,,,,,,,,,2,52,52,2,,2,,,,,X,ChIJ_3rfxSmWyFYRnpF9hdEOgSA,(907) 272-4446,https://loussacsogn.nwalaska.org/,Loussac-Sogn Apartments,"429 D St, Anchorage, AK 99501, USA",100,1
